Geography,CTYUA23CD,category,"Population
aged 16 to 64
 2021","Employment
","Employment rate
","Unemployment
","Unemployment rate
","Economic inactivity
","Economic inactivity rate
","Claimant Count
","Claimant Count proportion
","Jobs
","Jobs Density
","Earnings by resident
","Earnings by workplace
","Notes
",included in GIS
Cornwall,E06000052,Local Authority District,334,263,74.7,8,2.9,77,23.4,"9,037",2.7,289,0.86,516,502,,yes
Dorset,E06000059,Local Authority District,211,176,79.5,5,2.5,38,18.4,"4,743",2.3,183,0.87,577,546,,yes
Isles of Scilly,E06000053,Local Authority District,1,[c],[c],[x],[x],[c],[c],17,1.3,1,0.85,[x],[x],,yes
North Somerset,E06000024,Local Authority District,127,111,83.9,3,2.7,15,12.0,"2,925",2.3,105,0.82,580,550,,yes
Plymouth,E06000026,Local Authority District,169,126,74.2,4,3.1,40,24.0,"5,438",3.2,136,0.80,521,542,,yes
Somerset,E06000066,Local Authority District,334,269,79.3,7,2.6,60,18.7,"7,831",2.3,273,0.82,567,547,,yes
South Gloucestershire,E06000025,Local Authority District,183,156,83.4,3,2.1,26,14.9,"3,126",1.7,174,0.95,616,638,,yes
Swindon,E06000030,Local Authority District,150,113,78.1,3,2.6,28,20.1,"4,451",3.0,126,0.84,585,603,,yes
Torbay,E06000027,Local Authority District,80,60,74.9,2,3.1,18,23.4,"2,501",3.1,59,0.74,541,529,,yes
Wiltshire,E06000054,Local Authority District,310,247,79.0,6,2.2,56,19.0,"6,129",2.0,259,0.83,605,569,,yes
Devon,E10000008,Local Authority District,475,392,80.0,10,2.4,87,19.0,"9,416",2.0,424,0.89,567,548,,yes
Gloucestershire,E10000013,Local Authority District,393,333,82.1,8,2.3,62,16.3,"8,873",2.3,342,0.87,604,579,,yes
Isle of Anglesey,W06000001,Local Authority District,39,34,78.7,1,3.7,7,18.1,"1,370",3.5,26,0.67,588,550,,yes
Gwynedd,W06000002,Local Authority District,70,57,71.6,2,3.7,20,26.9,"1,976",2.8,61,0.87,518,562,,yes
Conwy,W06000003,Local Authority District,65,50,73.9,2,3.6,15,24.0,"2,270",3.5,48,0.74,555,524,,yes
Denbighshire,W06000004,Local Authority District,55,41,71.2,2,3.8,15,27.5,"1,990",3.6,47,0.85,532,571,,yes
Flintshire,W06000005,Local Authority District,94,78,81.0,2,2.8,16,16.8,"2,703",2.9,81,0.86,577,575,,yes
Wrexham,W06000006,Local Authority District,83,73,80.5,2,2.9,15,17.7,"2,463",3.0,69,0.84,575,565,,yes
Powys,W06000023,Local Authority District,76,58,74.0,2,3.4,17,23.4,"1,722",2.3,65,0.86,537,576,,yes
Ceredigion,W06000008,Local Authority District,42,37,72.7,1,3.4,11,23.8,"1,080",2.6,36,0.84,554,549,,yes
Pembrokeshire,W06000009,Local Authority District,70,56,74.7,2,4.0,16,22.5,"2,238",3.2,55,0.79,569,532,,yes
Carmarthenshire,W06000010,Local Authority District,110,81,72.5,4,4.1,27,24.9,"3,058",2.8,80,0.73,567,548,,yes
Swansea,W06000011,Local Authority District,148,121,74.1,5,4.2,35,22.2,"5,258",3.6,118,0.80,553,550,,yes
Neath Port Talbot,W06000012,Local Authority District,87,65,72.1,2,3.5,21,24.6,"2,678",3.1,56,0.64,590,597,,yes
Bridgend,W06000013,Local Authority District,89,63,68.8,2,3.4,26,29.5,"2,587",2.9,64,0.71,578,608,,yes
The Vale of Glamorgan,W06000014,Local Authority District,79,60,76.6,2,3.2,17,22.8,"2,292",2.9,47,0.60,593,517,,yes
Cardiff,W06000015,Local Authority District,241,199,76.1,9,4.5,51,20.2,"9,167",3.8,242,1.00,575,587,,yes
Rhondda Cynon Taf,W06000016,Local Authority District,147,107,70.0,4,3.9,38,25.8,"4,642",3.2,87,0.59,560,520,,yes
Merthyr Tydfil,W06000024,Local Authority District,37,27,69.8,1,4.3,10,25.7,"1,292",3.5,25,0.69,525,518,,yes
Caerphilly,W06000018,Local Authority District,108,85,74.0,3,3.6,26,23.3,"3,704",3.4,64,0.60,563,543,,yes
Blaenau Gwent,W06000019,Local Authority District,42,30,67.2,2,4.6,12,27.7,"1,765",4.2,20,0.49,523,578,,yes
Torfaen,W06000020,Local Authority District,56,43,75.6,2,3.4,12,22.1,"2,040",3.6,39,0.70,548,563,,yes
Monmouthshire,W06000021,Local Authority District,54,45,77.0,1,2.9,10,19.3,"1,210",2.2,42,0.78,689,557,,yes
Newport,W06000022,Local Authority District,100,72,74.3,4,4.9,19,20.7,"4,448",4.4,84,0.84,573,541,,yes
Aberdeen City,S12000033,Local Authority District,154,116,72.3,5,4.1,39,24.6,"4,945",3.2,172,1.12,587,636,,yes
Aberdeenshire,S12000034,Local Authority District,160,148,82.0,3,2.1,28,16.7,"3,014",1.9,119,0.74,639,585,,yes
Angus,S12000041,Local Authority District,69,53,72.3,2,3.3,18,25.8,"2,014",2.9,41,0.59,615,590,,yes
Argyll & Bute,S12000035,Local Authority District,51,38,72.5,1,3.1,12,25.3,"1,381",2.7,47,0.91,563,556,,yes
City of Edinburgh,S12000036,Local Authority District,366,301,82.8,9,2.8,53,14.9,"8,603",2.3,395,1.08,637,639,,yes
Clackmannanshire,S12000005,Local Authority District,32,23,65.9,1,4.1,10,30.8,"1,171",3.7,17,0.54,638,555,,yes
Dumfries & Galloway,S12000006,Local Authority District,86,60,68.4,3,3.9,22,26.1,"2,518",2.9,70,0.82,550,553,,yes
Dundee City,S12000042,Local Authority District,98,61,62.3,5,6.9,28,29.3,"4,201",4.3,85,0.87,575,614,,yes
East Ayrshire,S12000008,Local Authority District,76,55,70.6,2,3.4,21,28.5,"3,139",4.1,48,0.63,630,722,,yes
East Dunbartonshire,S12000045,Local Authority District,64,49,74.5,1,2.6,15,24.0,"1,250",1.9,30,0.46,755,545,,yes
East Lothian,S12000010,Local Authority District,67,54,79.7,1,2.5,11,16.5,"1,523",2.3,42,0.62,594,619,,yes
East Renfrewshire,S12000011,Local Authority District,57,44,77.0,1,2.7,11,20.4,"1,002",1.8,23,0.41,809,627,,yes
Falkirk,S12000014,Local Authority District,102,75,73.7,3,3.5,23,23.3,"3,023",3.0,74,0.72,595,624,,yes
Fife,S12000047,Local Authority District,232,172,75.0,7,3.7,50,22.3,"7,981",3.4,152,0.65,612,599,,yes
Glasgow City,S12000049,Local Authority District,449,326,73.6,17,4.8,103,23.8,"21,408",4.8,464,1.03,627,642,,yes
Highland,S12000017,Local Authority District,145,122,76.7,3,2.5,31,21.2,"3,353",2.3,128,0.89,611,596,,yes
Inverclyde,S12000018,Local Authority District,48,34,69.9,1,3.6,13,27.4,"1,800",3.8,29,0.61,570,685,,yes
Midlothian,S12000019,Local Authority District,59,50,84.2,1,2.2,8,13.9,"1,334",2.3,38,0.64,599,524,,yes
Moray,S12000020,Local Authority District,59,44,71.4,2,3.4,15,24.7,"1,345",2.3,46,0.79,566,579,,yes
Na h-Eileanan Siar,S12000013,Local Authority District,16,14,82.7,[low],2.4,3,17.3,295,1.9,14,0.93,670,670,Cells H386 I386 have a small sample size,yes
North Ayrshire,S12000021,Local Authority District,81,56,68.7,2,3.8,23,29.4,"3,637",4.5,45,0.56,626,597,,yes
North Lanarkshire,S12000050,Local Authority District,219,165,72.3,6,3.5,55,25.0,"7,481",3.4,142,0.65,598,609,,yes
Orkney Islands,S12000023,Local Authority District,13,14,89.8,[low],1.9,1,10.2,217,1.6,14,1.03,565,541,Cells E389 H389 I389 have a small sample size,yes
Perth & Kinross,S12000048,Local Authority District,93,73,76.9,2,2.8,19,21.1,"2,156",2.3,77,0.84,575,633,,yes
Renfrewshire,S12000038,Local Authority District,116,91,78.4,3,2.9,24,21.0,"3,670",3.2,89,0.77,663,613,,yes
Scottish Borders,S12000026,Local Authority District,68,53,77.2,2,3.2,13,19.1,"2,006",3.0,53,0.78,552,527,,yes
Shetland Islands,S12000027,Local Authority District,14,14,89.1,[low],2.0,2,10.9,238,1.7,16,1.12,678,688,Cells E393 H393 I393 have a small sample size,yes
South Ayrshire,S12000028,Local Authority District,66,43,61.4,2,4.2,21,32.9,"2,349",3.6,53,0.81,671,617,,yes
South Lanarkshire,S12000029,Local Authority District,202,160,78.3,5,2.8,40,19.8,"6,269",3.1,135,0.67,651,619,,yes
Stirling,S12000030,Local Authority District,60,48,77.7,2,3.0,11,19.0,"1,436",2.4,51,0.86,653,649,,yes
West Dunbartonshire,S12000039,Local Authority District,55,42,73.4,2,3.7,13,24.2,"2,484",4.5,38,0.69,651,575,,yes
West Lothian,S12000040,Local Authority District,119,91,75.3,3,3.0,25,21.6,"3,142",2.6,86,0.73,603,584,,yes
